temp, pressure
246, 99044
246, 99027
246, 99030
246, 99027
246, 99027
246, 99024
246, 99033
246, 99027
246, 99033
246, 99033
246, 99024
246, 99030
246, 99033
246, 99039
246, 99039
246, 99030
246, 99036
246, 99033
246, 99036
246, 99024
246, 99027
246, 99030
246, 99030
246, 99049
246, 99036
246, 99039
246, 99033
246, 99036
246, 99030
246, 99030
246, 99044
246, 99044
246, 99039
246, 99033
246, 99036
246, 99024
246, 99030
246, 99030
246, 99030
246, 99030
246, 99030
246, 99030
246, 99030
246, 99039
246, 99041
246, 99030
246, 99033
246, 99030
246, 99033
246, 99042
246, 99030
245, 99033
246, 99027
246, 99039
246, 99042
245, 99030
245, 99033
245, 99039
245, 99033
245, 99039
246, 99044
245, 99036
245, 99036
245, 99039
245, 99036
245, 99039
245, 99030
245, 99039
245, 99036
245, 99033
245, 99044
245, 99039
246, 99039
245, 99042
245, 99042
245, 99039
245, 99036
245, 99039
245, 99042
245, 99033
245, 99036
245, 99036
245, 99042
245, 99033
245, 99033
245, 99044
245, 99027
245, 99030
245, 99039
245, 99044
245, 99039
245, 99052
245, 99049
245, 99039
245, 99042
245, 99049
245, 99039
245, 99042
245, 99036
245, 99049
245, 99039
245, 99036
245, 99033
245, 99036
245, 99036
245, 99030
245, 99036
245, 99044
245, 99042
245, 99039
245, 99039
245, 99039
245, 99042
245, 99039
245, 99042
245, 99036
245, 99033
245, 99044
245, 99039
245, 99036
245, 99030
245, 99036
245, 99036
245, 99044
245, 99042
245, 99033
245, 99042
245, 99042
245, 99044
245, 99036
245, 99036
245, 99030
245, 99030
245, 99027
245, 99039
245, 99039
245, 99036
245, 99042
245, 99030
245, 99036
245, 99036
245, 99042
245, 99036
245, 99030
245, 99030
245, 99042
245, 99036
245, 99044
245, 99036
245, 99044
245, 99044
245, 99036
245, 99042
245, 99044
245, 99042
245, 99039
245, 99036
245, 99039
245, 99039
245, 99033
245, 99044
245, 99042
245, 99039
245, 99036
244, 99030
244, 99039
244, 99039
245, 99036
245, 99039
244, 99049
245, 99047
244, 99030
244, 99047
244, 99039
244, 99039
244, 99039
244, 99052
244, 99039
244, 99039
244, 99042
244, 99047
244, 99025
244, 99042
244, 99042
244, 99052
244, 99042
244, 99039
244, 99047
244, 99047
244, 99039
244, 99039
244, 99049
244, 99033
244, 99030
244, 99047
244, 99039
244, 99028
244, 99033
244, 99042
244, 99047
244, 99039
244, 99039
244, 99047
244, 99047
244, 99047
244, 99033
244, 99052
244, 99036
244, 99039
244, 99036
244, 99039
244, 99042
244, 99039
244, 99036
244, 99042
244, 99042
244, 99049
244, 99030
244, 99049
244, 99042
244, 99030
244, 99049
244, 99042
244, 99047
244, 99036
244, 99042
244, 99039
244, 99042
244, 99033
244, 99036
244, 99036
244, 99033
244, 99036
244, 99036
244, 99033
244, 99033
244, 99042
244, 99049
244, 99042
244, 99047
244, 99030
244, 99047
244, 99039
244, 99042
244, 99042
244, 99036
244, 99036
244, 99042
244, 99052
244, 99039
244, 99033
244, 99036
244, 99036
244, 99033
244, 99031
244, 99047
244, 99036
244, 99033
244, 99033
244, 99033
244, 99033
244, 99036
244, 99033
244, 99028
244, 99033
244, 99031
244, 99036
244, 99036
244, 99052
244, 99050
244, 99042
244, 99036
244, 99039
244, 99033
244, 99036
244, 99042
244, 99039
244, 99039
244, 99036
244, 99033
244, 99050
244, 99047
244, 99039
244, 99036
244, 99047
244, 99042
244, 99042
244, 99036
244, 99042
244, 99042
244, 99042
244, 99050
244, 99042
244, 99052
244, 99042
243, 99033
244, 99042
244, 99047
244, 99050
243, 99036
243, 99039
243, 99039
243, 99033
244, 99036
243, 99039
243, 99047
244, 99055
243, 99039
243, 99050
243, 99039
243, 99047
243, 99042
243, 99052
243, 99039
243, 99047
243, 99042
243, 99039
243, 99039
243, 99052
243, 99052
243, 99047
243, 99050
243, 99047
243, 99036
243, 99036
243, 99036
243, 99033
243, 99036
243, 99042
243, 99036
243, 99042
243, 99039
